country,year_week,new_cases,number_sequenced,percent_cases_sequenced,variant,number_detections_variant,percent_variant
Austria,2020-10-11,5152,4.0,0.1,B.1.1.7,0,0.0
Belgium,2020-10-11,21351,17.0,0.1,B.1.1.7,0,0.0
Bulgaria,2020-10-11,1532,0.0,0.0,B.1.1.7,0,
Croatia,2020-10-11,1462,11.0,0.8,B.1.1.7,0,0.0
Cyprus,2020-10-11,128,7.0,5.5,B.1.1.7,0,0.0
Czechia,2020-10-11,17849,32.0,0.2,B.1.1.7,0,0.0
Denmark,2020-10-11,3043,433.0,14.2,B.1.1.7,0,0.0
Estonia,2020-10-11,407,0.0,0.0,B.1.1.7,0,
Finland,2020-10-11,856,127.0,14.8,B.1.1.7,0,0.0
France,2020-10-11,80601,97.0,0.1,B.1.1.7,0,0.0
Germany,2020-10-11,15287,129.0,0.8,B.1.1.7,0,0.0
Greece,2020-10-11,2398,0.0,0.0,B.1.1.7,0,
Hungary,2020-10-11,6764,75.0,1.1,B.1.1.7,0,0.0
Iceland,2020-10-11,298,298.0,100.0,B.1.1.7,0,0.0
Ireland,2020-10-11,3042,16.0,0.5,B.1.1.7,0,0.0
Italy,2020-10-11,15459,40.0,0.3,B.1.1.7,0,0.0
Latvia,2020-10-11,410,212.0,51.7,B.1.1.7,0,0.0
Liechtenstein,2020-10-11,9,0.0,0.0,B.1.1.7,0,
Lithuania,2020-10-11,800,3.0,0.4,B.1.1.7,0,0.0
Luxembourg,2020-10-11,352,12.0,3.4,B.1.1.7,0,0.0
Malta,2020-10-11,311,0.0,0.0,B.1.1.7,0,
Netherlands,2020-10-11,24239,125.0,0.5,B.1.1.7,0,0.0
Norway,2020-10-11,743,60.0,8.1,B.1.1.7,0,0.0
Poland,2020-10-11,10810,1.0,0.0,B.1.1.7,0,0.0
Portugal,2020-10-11,4643,0.0,0.0,B.1.1.7,0,
Romania,2020-10-11,11392,4.0,0.0,B.1.1.7,0,0.0
Slovakia,2020-10-11,4061,0.0,0.0,B.1.1.7,0,
Slovenia,2020-10-11,1148,15.0,1.3,B.1.1.7,0,0.0
Spain,2020-10-11,65146,181.0,0.3,B.1.1.7,0,0.0
Sweden,2020-10-11,3638,19.0,0.5,B.1.1.7,0,0.0
Austria,2020-10-11,5152,4.0,0.1,B.1.351,0,0.0
Belgium,2020-10-11,21351,17.0,0.1,B.1.351,0,0.0
Bulgaria,2020-10-11,1532,0.0,0.0,B.1.351,0,
Croatia,2020-10-11,1462,11.0,0.8,B.1.351,0,0.0
Cyprus,2020-10-11,128,7.0,5.5,B.1.351,0,0.0
Czechia,2020-10-11,17849,32.0,0.2,B.1.351,0,0.0
Denmark,2020-10-11,3043,433.0,14.2,B.1.351,0,0.0
Estonia,2020-10-11,407,0.0,0.0,B.1.351,0,
Finland,2020-10-11,856,127.0,14.8,B.1.351,0,0.0
France,2020-10-11,80601,97.0,0.1,B.1.351,0,0.0
Germany,2020-10-11,15287,129.0,0.8,B.1.351,0,0.0
Greece,2020-10-11,2398,0.0,0.0,B.1.351,0,
Hungary,2020-10-11,6764,75.0,1.1,B.1.351,0,0.0
Iceland,2020-10-11,298,298.0,100.0,B.1.351,0,0.0
Ireland,2020-10-11,3042,16.0,0.5,B.1.351,0,0.0
Italy,2020-10-11,15459,40.0,0.3,B.1.351,0,0.0
Latvia,2020-10-11,410,212.0,51.7,B.1.351,0,0.0
Liechtenstein,2020-10-11,9,0.0,0.0,B.1.351,0,
Lithuania,2020-10-11,800,3.0,0.4,B.1.351,0,0.0
Luxembourg,2020-10-11,352,12.0,3.4,B.1.351,0,0.0
Malta,2020-10-11,311,0.0,0.0,B.1.351,0,
Netherlands,2020-10-11,24239,125.0,0.5,B.1.351,0,0.0
Norway,2020-10-11,743,60.0,8.1,B.1.351,0,0.0
Poland,2020-10-11,10810,1.0,0.0,B.1.351,0,0.0
